,age,father_education,mother_education,school_type,scholarship,smoking_frequency,study_hours_extra,extracurricular,work_hours,math_grade,language_grade,aptitude_score
279,19,secundaria,universidad,privado,0,no_fuma,<5,deportiva,0.0,60.8,77.3,1236.0
280,18,secundaria,secundaria,privado,0,fuma_poco,<10,cultural,0.0,79.6,72.3,1287.0
281,21,bachillerato,bachillerato,publico,0,no_fuma,<10,cultural,0.0,65.8,84.7,1273.0
282,17,secundaria,posgrado,publico,1,no_fuma,<15,cultural,13.4,70.5,75.4,1300.0
283,20,posgrado,universidad,privado,0,no_fuma,<10,cultural,8.7,77.9,79.4,1266.0
284,17,universidad,sin_estudios,privado,0,no_fuma,<10,deportiva,0.0,67.3,79.4,1285.0
285,21,primaria,primaria,privado,0,no_fuma,15+,social,9.2,74.4,79.8,1269.0
286,20,secundaria,bachillerato,publico,0,fumador_ocasional,<10,cultural,17.1,59.9,77.8,1296.0
287,21,universidad,posgrado,publico,1,no_fuma,<10,cultural,17.3,81.3,82.6,1300.0
288,19,posgrado,bachillerato,privado,0,no_fuma,<5,cultural,0.0,92.6,70.8,1267.0
289,20,bachillerato,bachillerato,privado,0,no_fuma,<10,deportiva,10.7,100.0,90.6,1300.0
290,19,bachillerato,primaria,publico,0,fumador_ocasional,<15,cultural,0.0,75.9,75.9,1261.0
291,17,primaria,bachillerato,publico,0,no_fuma,<5,cultural,21.0,82.9,66.2,1262.0
292,17,posgrado,universidad,publico,1,fuma_poco,<15,deportiva,19.8,57.2,79.7,1300.0
293,20,secundaria,secundaria,publico,0,no_fuma,<5,deportiva,3.0,90.0,70.3,1225.0
294,20,posgrado,universidad,publico,1,no_fuma,<10,deportiva,4.3,82.8,84.0,1300.0
295,21,bachillerato,posgrado,privado,0,no_fuma,<15,social,7.4,70.2,97.9,1300.0
296,21,bachillerato,secundaria,publico,0,fumador_ocasional,<10,cultural,0.0,87.4,70.9,1300.0
297,19,bachillerato,bachillerato,privado,1,no_fuma,<15,deportiva,15.4,72.5,81.0,1300.0
298,20,secundaria,secundaria,publico,0,no_fuma,<5,deportiva,9.3,70.4,62.2,1229.0
299,17,primaria,universidad,privado,0,no_fuma,<15,cultural,21.7,79.8,82.1,1300.0
300,21,secundaria,bachillerato,privado,0,fumador_ocasional,<5,social,1.0,64.4,70.0,1231.0
301,21,primaria,bachillerato,publico,0,no_fuma,15+,deportiva,5.8,85.2,72.4,1300.0
302,17,universidad,universidad,publico,0,no_fuma,<5,deportiva,0.0,64.4,68.1,1300.0
303,21,secundaria,secundaria,publico,0,no_fuma,15+,social,2.0,64.5,84.6,1252.0
304,19,primaria,posgrado,publico,0,no_fuma,<10,deportiva,0.2,65.9,87.1,1300.0
305,20,posgrado,bachillerato,privado,0,fuma_poco,<15,deportiva,22.0,82.6,78.2,1300.0
306,17,universidad,secundaria,privado,0,fuma_poco,<10,social,5.0,68.8,70.2,1300.0
307,20,posgrado,universidad,publico,0,no_fuma,15+,cultural,13.2,61.5,92.3,1300.0
308,21,posgrado,universidad,publico,0,no_fuma,<5,deportiva,8.2,68.9,71.2,1300.0
309,21,primaria,secundaria,publico,0,no_fuma,<5,deportiva,0.0,74.7,58.5,1245.0
310,17,secundaria,universidad,privado,1,no_fuma,<10,deportiva,10.3,63.2,82.1,1296.0
311,19,universidad,posgrado,publico,0,no_fuma,<5,deportiva,18.0,63.5,68.1,1278.0
312,18,bachillerato,secundaria,publico,1,fumador_ocasional,<5,social,0.0,96.1,86.9,1300.0
313,17,primaria,posgrado,publico,0,fumador_constante,15+,cultural,20.1,66.4,74.6,1233.0
314,18,universidad,primaria,publico,0,fumador_constante,15+,cultural,3.5,71.8,83.4,1300.0
315,18,secundaria,secundaria,publico,0,fumador_ocasional,<10,social,7.2,71.3,90.6,1214.0
316,19,secundaria,secundaria,privado,0,fuma_poco,15+,cultural,17.3,70.8,67.1,1224.0
317,18,bachillerato,posgrado,publico,0,fuma_poco,<10,deportiva,5.4,81.2,72.9,1300.0
318,18,bachillerato,bachillerato,publico,0,no_fuma,<10,cultural,12.4,84.5,77.3,1300.0
319,19,bachillerato,secundaria,privado,0,fuma_poco,<15,social,8.9,71.9,91.8,1300.0
320,18,primaria,bachillerato,privado,1,no_fuma,<15,social,13.3,62.6,72.1,1159.0
321,18,universidad,bachillerato,publico,0,no_fuma,15+,deportiva,0.0,87.7,72.6,1300.0
322,18,secundaria,primaria,publico,0,fumador_ocasional,<10,cultural,0.0,74.0,82.3,1198.0
323,17,primaria,universidad,publico,1,no_fuma,<15,cultural,18.2,92.3,72.8,1300.0
324,17,universidad,universidad,publico,0,no_fuma,<5,social,22.4,52.5,79.4,1247.0
325,17,posgrado,bachillerato,publico,0,fumador_constante,<5,deportiva,2.9,77.0,64.0,1300.0
326,19,universidad,posgrado,publico,0,no_fuma,<5,cultural,9.6,94.2,97.9,1300.0
327,21,universidad,bachillerato,publico,1,no_fuma,15+,social,14.9,71.5,65.9,1300.0
328,18,bachillerato,posgrado,privado,1,fumador_constante,15+,cultural,18.9,72.7,75.1,1300.0
329,18,bachillerato,bachillerato,publico,0,fuma_poco,<15,cultural,0.0,78.0,77.7,1300.0
330,19,primaria,bachillerato,privado,0,no_fuma,<10,deportiva,3.1,69.4,95.2,1247.0
331,18,secundaria,secundaria,publico,1,no_fuma,<10,deportiva,8.7,71.9,66.1,1287.0
332,17,secundaria,universidad,privado,0,no_fuma,<5,deportiva,19.0,71.6,95.9,1239.0
333,21,secundaria,bachillerato,privado,0,fumador_ocasional,<10,social,37.0,68.7,84.8,1300.0
334,20,universidad,secundaria,privado,0,fuma_poco,<10,deportiva,9.7,87.3,81.8,1300.0
335,18,bachillerato,sin_estudios,privado,0,no_fuma,<15,cultural,0.0,79.6,69.1,1300.0
336,17,primaria,bachillerato,privado,0,no_fuma,<10,cultural,16.0,77.5,83.1,1267.0
337,20,secundaria,bachillerato,publico,0,no_fuma,<5,deportiva,25.2,83.1,71.5,1287.0
338,21,bachillerato,universidad,publico,0,fumador_constante,<5,cultural,13.1,72.4,89.4,1300.0
339,20,primaria,posgrado,publico,0,no_fuma,<5,cultural,2.9,67.3,69.3,1270.0
340,17,universidad,primaria,privado,1,fuma_poco,<10,social,21.6,69.0,77.0,1247.0
341,20,bachillerato,universidad,privado,0,no_fuma,15+,cultural,18.6,75.0,73.0,1300.0
342,19,bachillerato,secundaria,publico,0,fuma_poco,<15,cultural,1.7,64.4,69.1,1221.0
343,20,bachillerato,universidad,publico,0,fumador_constante,15+,deportiva,15.8,70.0,84.7,1279.0
344,18,universidad,universidad,publico,0,fuma_poco,<10,social,22.0,69.8,82.8,1300.0
345,18,secundaria,bachillerato,privado,0,no_fuma,<10,deportiva,23.8,96.2,88.9,1300.0
346,19,bachillerato,universidad,publico,0,fuma_poco,<5,social,11.3,50.0,62.0,1209.0
347,17,bachillerato,secundaria,publico,1,fumador_ocasional,15+,deportiva,8.4,73.2,87.6,1300.0
348,18,secundaria,bachillerato,publico,1,no_fuma,<15,social,24.3,92.3,100.0,1300.0
349,21,universidad,universidad,publico,0,fumador_ocasional,<5,cultural,0.0,76.2,73.9,1300.0
350,18,universidad,bachillerato,privado,0,fuma_poco,<10,social,16.4,82.5,95.1,1300.0
351,18,bachillerato,secundaria,privado,0,fumador_ocasional,<10,deportiva,0.0,76.0,75.6,1266.0
352,17,universidad,bachillerato,privado,1,fuma_poco,<15,cultural,22.7,68.3,65.6,1300.0
353,20,universidad,universidad,publico,1,no_fuma,15+,cultural,9.4,52.6,75.2,1300.0
354,18,universidad,secundaria,publico,0,no_fuma,<15,social,24.7,77.1,87.4,1291.0
355,19,universidad,secundaria,publico,0,no_fuma,<10,deportiva,16.9,67.2,70.5,1292.0
356,20,bachillerato,universidad,privado,1,fumador_constante,<5,social,0.0,67.0,72.6,1300.0
357,21,bachillerato,universidad,publico,0,fumador_ocasional,<5,social,26.2,70.0,83.3,1300.0
358,17,bachillerato,primaria,publico,0,fuma_poco,<5,deportiva,27.5,92.4,78.0,1180.0
359,21,universidad,secundaria,publico,0,no_fuma,<5,social,20.8,99.0,83.3,1289.0
360,20,primaria,primaria,privado,0,no_fuma,<15,cultural,4.4,77.2,80.1,1300.0
361,20,universidad,secundaria,publico,1,fumador_ocasional,<15,cultural,8.9,70.4,82.3,1300.0
362,20,universidad,bachillerato,privado,1,no_fuma,<5,deportiva,13.5,63.2,74.1,1291.0
363,21,sin_estudios,universidad,publico,0,no_fuma,15+,cultural,5.0,79.7,80.1,1257.0
364,20,universidad,bachillerato,publico,0,fuma_poco,<5,cultural,28.9,92.8,69.7,1300.0
365,21,primaria,bachillerato,publico,0,no_fuma,<10,cultural,13.4,72.5,89.6,1300.0
366,20,secundaria,secundaria,publico,0,no_fuma,<5,cultural,0.0,51.2,72.3,1211.0
367,19,universidad,universidad,publico,0,no_fuma,<10,cultural,15.4,81.7,88.2,1300.0
368,20,primaria,bachillerato,publico,0,no_fuma,<10,cultural,8.5,84.9,75.9,1300.0
369,21,universidad,posgrado,publico,0,fumador_constante,<10,deportiva,11.3,59.1,79.8,1300.0
370,18,universidad,bachillerato,privado,0,no_fuma,<10,social,8.3,76.8,73.5,1300.0
371,20,bachillerato,primaria,publico,0,no_fuma,15+,cultural,20.1,79.5,68.9,1300.0
372,18,sin_estudios,universidad,privado,0,no_fuma,<5,deportiva,23.2,74.3,62.3,1184.0
373,19,secundaria,secundaria,publico,0,fumador_ocasional,<5,deportiva,14.8,67.1,68.5,1205.0
374,17,bachillerato,universidad,privado,0,no_fuma,<5,cultural,8.6,85.2,75.1,1267.0
375,19,posgrado,primaria,publico,1,fuma_poco,<15,social,11.6,71.0,79.9,1300.0
376,20,bachillerato,secundaria,publico,0,no_fuma,<5,deportiva,12.2,60.1,87.1,1274.0
377,18,secundaria,universidad,publico,0,no_fuma,15+,cultural,4.0,54.5,74.0,1259.0
378,18,bachillerato,secundaria,publico,1,no_fuma,<10,deportiva,17.8,87.6,70.1,1300.0
379,21,bachillerato,universidad,publico,1,fumador_ocasional,<10,cultural,16.6,81.2,65.0,1300.0
380,18,universidad,secundaria,privado,0,fumador_ocasional,<15,social,27.4,75.9,82.3,1216.0
381,21,primaria,bachillerato,privado,1,no_fuma,<5,social,24.6,70.6,90.4,1252.0
382,17,universidad,universidad,privado,0,no_fuma,<5,deportiva,5.1,69.7,89.4,1300.0
383,20,bachillerato,bachillerato,privado,0,fumador_constante,<10,cultural,20.2,64.2,84.4,1267.0
384,21,posgrado,secundaria,publico,0,no_fuma,<15,deportiva,2.5,70.7,83.7,1286.0
385,17,secundaria,secundaria,publico,0,fumador_ocasional,<5,cultural,19.0,53.8,93.3,1300.0
386,18,bachillerato,primaria,publico,0,no_fuma,<5,social,6.8,67.6,81.0,1195.0
387,18,posgrado,secundaria,publico,0,fumador_constante,15+,social,1.8,71.9,83.8,1300.0
388,17,primaria,bachillerato,publico,0,fumador_ocasional,<5,deportiva,14.8,81.1,75.1,1300.0
389,18,posgrado,posgrado,publico,0,fumador_constante,15+,social,0.0,74.6,65.7,1300.0
390,17,bachillerato,universidad,publico,0,fuma_poco,<15,cultural,0.0,82.9,71.8,1300.0
391,21,primaria,universidad,publico,0,no_fuma,<10,deportiva,10.2,88.5,77.9,1300.0
392,21,secundaria,universidad,privado,0,fumador_constante,<5,cultural,12.8,85.6,78.5,1300.0
393,17,universidad,bachillerato,privado,1,no_fuma,<5,cultural,8.3,79.7,95.3,1300.0
394,21,primaria,secundaria,publico,1,no_fuma,<15,cultural,0.0,75.1,78.7,1300.0
395,21,bachillerato,posgrado,privado,1,fuma_poco,<15,cultural,3.8,65.2,88.6,1300.0
396,21,secundaria,universidad,privado,0,fumador_ocasional,<15,cultural,15.9,82.4,74.1,1289.0
397,19,bachillerato,bachillerato,publico,1,fumador_constante,15+,deportiva,17.8,91.8,75.2,1277.0
398,20,sin_estudios,primaria,publico,0,no_fuma,<15,social,11.8,78.4,66.0,1253.0
399,18,universidad,bachillerato,publico,0,fumador_ocasional,<5,cultural,23.6,94.2,71.3,1300.0
400,19,posgrado,bachillerato,privado,0,fuma_poco,<5,deportiva,16.0,59.7,82.7,1300.0
401,21,posgrado,universidad,privado,0,no_fuma,15+,social,4.5,63.5,78.1,1300.0
402,17,universidad,bachillerato,publico,0,no_fuma,<5,social,9.2,83.6,86.5,1300.0
403,21,primaria,secundaria,publico,0,no_fuma,<5,social,0.0,77.6,79.6,1300.0
404,20,universidad,posgrado,publico,1,no_fuma,<15,deportiva,10.9,88.1,74.8,1300.0
405,21,sin_estudios,primaria,publico,0,fumador_constante,<10,deportiva,23.1,74.8,97.3,1300.0
406,17,sin_estudios,bachillerato,publico,0,fuma_poco,15+,cultural,18.9,66.3,77.2,1230.0
407,20,secundaria,primaria,privado,1,fuma_poco,<15,deportiva,26.0,72.9,88.5,1277.0
408,21,bachillerato,universidad,privado,0,fumador_constante,<5,social,9.0,59.7,74.4,1258.0
409,20,universidad,posgrado,privado,0,no_fuma,15+,deportiva,25.5,63.7,84.4,1267.0
410,18,bachillerato,secundaria,privado,0,fumador_ocasional,<10,deportiva,10.1,84.7,86.4,1300.0
411,18,secundaria,universidad,privado,0,no_fuma,<10,cultural,26.7,83.7,79.9,1300.0
412,21,secundaria,secundaria,publico,0,fumador_ocasional,<10,deportiva,11.8,78.6,56.8,1284.0
413,20,posgrado,posgrado,publico,0,no_fuma,<5,social,19.1,57.8,78.2,1272.0
414,17,secundaria,universidad,publico,0,fumador_constante,<10,cultural,26.8,71.4,89.1,1260.0
415,21,bachillerato,universidad,privado,0,no_fuma,<5,deportiva,10.1,62.8,82.7,1300.0
416,18,primaria,sin_estudios,publico,0,no_fuma,<10,deportiva,14.2,86.8,82.0,1300.0
417,18,universidad,posgrado,privado,0,fumador_ocasional,<10,cultural,24.9,69.2,62.5,1253.0
418,21,bachillerato,universidad,publico,0,no_fuma,<15,deportiva,10.7,64.1,71.5,1258.0
419,20,secundaria,secundaria,publico,1,fuma_poco,15+,cultural,0.0,75.3,81.7,1300.0
420,18,primaria,universidad,publico,0,no_fuma,<5,cultural,33.4,68.6,81.7,1220.0
421,20,bachillerato,secundaria,publico,0,fuma_poco,<10,cultural,7.3,89.8,88.9,1220.0
422,18,bachillerato,universidad,privado,0,no_fuma,<10,social,13.6,67.7,76.7,1296.0
423,18,secundaria,primaria,privado,0,no_fuma,<5,social,23.6,61.0,81.7,1169.0
424,19,posgrado,universidad,publico,0,no_fuma,<15,social,5.9,53.5,78.1,1196.0
425,18,primaria,bachillerato,publico,0,no_fuma,<15,deportiva,1.9,74.7,69.1,1300.0
426,17,secundaria,primaria,publico,1,no_fuma,<5,deportiva,14.5,69.4,57.7,1172.0
427,21,posgrado,secundaria,publico,1,no_fuma,<10,deportiva,0.0,60.7,81.9,1297.0
428,21,secundaria,sin_estudios,publico,0,no_fuma,<5,social,9.1,86.9,79.6,1300.0
429,20,bachillerato,bachillerato,privado,1,no_fuma,<15,social,14.5,81.7,72.4,1244.0
430,18,secundaria,secundaria,publico,0,fuma_poco,<5,social,9.3,74.7,63.4,1169.0
431,17,secundaria,bachillerato,publico,0,fumador_ocasional,15+,deportiva,0.0,88.6,83.7,1300.0
432,20,posgrado,secundaria,publico,0,no_fuma,<15,social,27.9,81.6,75.6,1300.0
433,19,secundaria,secundaria,publico,0,fuma_poco,<10,cultural,13.0,66.8,83.0,1193.0
434,20,universidad,universidad,publico,1,fuma_poco,<15,deportiva,26.3,64.6,94.8,1300.0
435,20,secundaria,primaria,publico,0,no_fuma,15+,cultural,9.4,83.2,58.7,1298.0
436,18,secundaria,posgrado,publico,0,fuma_poco,<15,deportiva,3.2,79.0,71.7,1229.0
437,19,sin_estudios,universidad,publico,1,no_fuma,<5,cultural,14.7,76.7,76.1,1300.0
438,20,bachillerato,bachillerato,publico,0,no_fuma,<10,deportiva,9.8,66.5,91.1,1300.0
439,17,secundaria,bachillerato,publico,0,no_fuma,15+,cultural,0.2,81.1,63.3,1291.0
440,17,universidad,posgrado,publico,0,fuma_poco,<15,cultural,26.7,67.4,95.4,1300.0
441,21,bachillerato,secundaria,privado,1,fuma_poco,<15,social,5.8,74.0,79.2,1300.0
442,19,posgrado,primaria,publico,1,no_fuma,15+,cultural,0.0,89.5,77.1,1300.0
443,19,primaria,secundaria,publico,0,no_fuma,15+,cultural,25.3,68.4,76.2,1223.0
444,21,universidad,universidad,publico,0,fumador_constante,15+,social,7.0,59.3,74.1,1254.0
445,20,universidad,primaria,publico,0,no_fuma,<5,social,5.9,64.5,87.4,1272.0
446,19,universidad,bachillerato,publico,1,no_fuma,<10,deportiva,0.0,84.9,68.4,1300.0
447,17,universidad,posgrado,privado,0,fumador_constante,<15,cultural,29.4,77.5,81.1,1300.0
448,17,universidad,universidad,privado,0,fuma_poco,<15,deportiva,0.0,73.7,74.5,1225.0
449,18,bachillerato,bachillerato,publico,1,fuma_poco,<15,deportiva,12.6,69.9,71.1,1300.0
450,19,primaria,primaria,publico,0,fumador_ocasional,<5,cultural,21.1,79.9,100.0,1300.0
451,20,sin_estudios,universidad,publico,0,fumador_ocasional,<15,social,16.2,66.5,81.8,1254.0
452,21,posgrado,bachillerato,privado,0,no_fuma,<15,deportiva,11.4,78.1,83.5,1300.0
453,21,bachillerato,primaria,publico,1,no_fuma,<5,social,0.0,67.7,88.2,1300.0
454,20,universidad,primaria,publico,0,no_fuma,<10,social,3.9,66.0,65.2,1102.0
455,18,bachillerato,posgrado,publico,0,fumador_constante,<5,social,13.9,68.6,93.8,1300.0
456,21,primaria,bachillerato,publico,0,fuma_poco,<10,deportiva,4.1,71.2,55.4,1174.0
457,19,primaria,universidad,publico,0,no_fuma,<5,social,14.0,74.5,71.1,1285.0
458,18,bachillerato,universidad,publico,0,fumador_ocasional,<10,deportiva,18.8,77.4,73.9,1300.0
459,19,secundaria,bachillerato,publico,0,no_fuma,<10,cultural,21.6,50.0,83.2,1254.0
460,17,secundaria,bachillerato,privado,1,no_fuma,<15,deportiva,0.0,66.9,80.0,1291.0
461,18,bachillerato,bachillerato,publico,0,no_fuma,<15,deportiva,34.0,71.1,76.5,1165.0
462,21,primaria,secundaria,publico,0,no_fuma,15+,cultural,19.7,90.1,77.9,1289.0
463,18,bachillerato,bachillerato,privado,0,fumador_ocasional,<5,cultural,12.0,64.2,69.2,1279.0
464,18,secundaria,universidad,publico,0,no_fuma,<5,deportiva,22.9,76.6,64.5,1300.0
465,18,universidad,bachillerato,publico,1,fumador_ocasional,15+,deportiva,35.7,90.0,84.5,1300.0
466,18,secundaria,posgrado,publico,0,fuma_poco,<5,cultural,0.0,61.9,84.2,1300.0
467,19,bachillerato,bachillerato,publico,0,no_fuma,15+,deportiva,9.7,78.9,92.3,1300.0
468,17,sin_estudios,bachillerato,privado,0,fumador_constante,15+,social,0.0,67.0,70.9,1300.0
469,20,primaria,bachillerato,publico,0,no_fuma,<10,deportiva,13.9,70.0,84.2,1255.0
470,18,secundaria,bachillerato,publico,0,no_fuma,15+,deportiva,15.7,67.0,75.4,1285.0
471,21,bachillerato,universidad,publico,0,no_fuma,<5,deportiva,11.6,67.7,88.7,1300.0
472,18,bachillerato,secundaria,publico,1,fumador_ocasional,<10,cultural,5.5,100.0,87.2,1300.0
473,21,secundaria,bachillerato,privado,1,no_fuma,<15,deportiva,0.0,83.4,79.9,1300.0
474,19,bachillerato,primaria,publico,0,no_fuma,<10,deportiva,15.7,86.0,74.9,1300.0
475,21,universidad,secundaria,publico,1,no_fuma,15+,social,26.6,79.9,86.6,1300.0
476,20,universidad,bachillerato,privado,0,no_fuma,<5,cultural,6.1,58.9,83.8,1237.0
477,17,sin_estudios,bachillerato,publico,0,fumador_ocasional,<10,deportiva,16.4,78.9,71.8,1300.0
478,21,bachillerato,posgrado,privado,0,no_fuma,<15,cultural,0.0,85.7,66.0,1300.0
479,21,primaria,bachillerato,privado,0,no_fuma,<15,social,16.6,66.5,75.4,1240.0
480,17,secundaria,universidad,privado,0,no_fuma,<10,deportiva,8.1,84.7,91.6,1300.0
481,20,posgrado,bachillerato,publico,0,no_fuma,<10,deportiva,4.4,82.0,88.3,1300.0
482,18,primaria,bachillerato,publico,0,fumador_constante,15+,social,4.4,93.5,68.0,1300.0
483,21,bachillerato,primaria,privado,0,no_fuma,<5,cultural,8.1,70.8,67.5,1176.0
484,17,bachillerato,secundaria,publico,0,fumador_constante,15+,cultural,15.8,64.0,89.5,1300.0
485,19,universidad,secundaria,publico,1,no_fuma,<15,deportiva,0.0,71.4,67.8,1300.0
486,17,bachillerato,bachillerato,privado,0,no_fuma,<15,deportiva,8.0,89.4,82.6,1300.0
487,19,sin_estudios,primaria,privado,0,fumador_ocasional,<15,cultural,11.6,56.7,72.5,1201.0
488,20,secundaria,primaria,publico,0,no_fuma,<5,deportiva,1.0,54.3,92.6,1175.0
489,18,bachillerato,secundaria,publico,0,fuma_poco,<15,cultural,30.0,75.9,71.1,1277.0
490,17,primaria,posgrado,publico,1,fumador_constante,15+,cultural,3.5,70.6,88.3,1300.0
491,21,secundaria,secundaria,privado,0,no_fuma,<10,deportiva,5.3,75.1,79.7,1298.0
492,20,sin_estudios,bachillerato,privado,0,no_fuma,15+,social,2.2,84.5,80.3,1300.0
493,17,primaria,secundaria,publico,1,fuma_poco,<10,social,30.0,69.5,60.3,1196.0
494,21,secundaria,bachillerato,publico,0,no_fuma,<5,cultural,17.5,56.3,58.2,1214.0
495,17,primaria,secundaria,privado,0,no_fuma,<10,deportiva,2.6,95.4,76.0,1300.0
496,19,bachillerato,secundaria,publico,0,no_fuma,15+,deportiva,23.1,65.0,80.2,1283.0
497,17,bachillerato,bachillerato,publico,1,no_fuma,<10,cultural,14.0,64.4,67.9,1276.0
498,17,universidad,sin_estudios,privado,0,fumador_ocasional,15+,deportiva,14.6,86.0,68.2,1300.0
499,17,secundaria,sin_estudios,publico,0,no_fuma,15+,social,8.6,71.2,83.1,1300.0
500,20,primaria,secundaria,publico,0,no_fuma,<10,deportiva,4.5,74.4,83.1,1300.0
501,17,primaria,primaria,publico,0,fuma_poco,<5,cultural,15.4,79.8,76.8,1300.0
502,21,bachillerato,primaria,publico,0,no_fuma,<15,deportiva,6.5,85.8,85.0,1300.0
503,19,universidad,secundaria,privado,0,no_fuma,<10,cultural,30.2,71.7,67.4,1300.0
504,19,sin_estudios,universidad,publico,0,fumador_ocasional,<15,deportiva,0.0,90.2,74.8,1300.0
505,17,posgrado,bachillerato,privado,1,no_fuma,<10,cultural,27.4,53.6,92.8,1192.0
506,20,primaria,bachillerato,publico,1,fumador_ocasional,<10,deportiva,10.9,82.6,78.6,1300.0
507,20,bachillerato,secundaria,publico,0,fumador_ocasional,<15,social,15.0,66.6,79.1,1280.0
508,21,universidad,posgrado,publico,1,no_fuma,<10,deportiva,20.3,88.7,98.8,1300.0
509,17,universidad,secundaria,publico,0,no_fuma,<10,social,5.7,76.4,65.4,1289.0
510,19,universidad,primaria,publico,0,no_fuma,<10,social,20.6,68.3,85.2,1245.0
511,20,universidad,bachillerato,publico,0,no_fuma,<10,deportiva,0.0,81.6,93.0,1300.0
512,17,secundaria,primaria,publico,1,fumador_ocasional,<10,social,4.8,83.9,75.1,1289.0
513,20,universidad,secundaria,publico,1,fumador_ocasional,15+,deportiva,2.8,81.4,85.7,1300.0
514,20,primaria,bachillerato,privado,0,no_fuma,<10,social,0.0,64.7,69.2,1242.0
515,19,universidad,universidad,privado,1,fuma_poco,<10,cultural,9.9,70.2,71.8,1297.0
516,18,bachillerato,bachillerato,privado,0,fumador_constante,<15,deportiva,15.9,75.0,81.5,1279.0
517,21,universidad,universidad,publico,1,fumador_constante,<10,deportiva,19.0,74.6,85.2,1300.0
518,21,bachillerato,posgrado,publico,1,no_fuma,<10,deportiva,14.4,82.5,88.1,1300.0
519,19,bachillerato,primaria,privado,0,no_fuma,15+,social,5.3,54.9,92.1,1292.0
520,20,bachillerato,secundaria,publico,1,no_fuma,<15,deportiva,15.7,78.3,77.4,1263.0
521,17,universidad,secundaria,publico,0,fumador_constante,<15,cultural,13.2,72.1,88.7,1252.0
522,20,primaria,bachillerato,privado,0,no_fuma,<15,cultural,21.4,66.6,74.9,1276.0
523,19,primaria,bachillerato,privado,0,fuma_poco,<5,social,19.8,67.6,86.1,1300.0
524,21,secundaria,posgrado,publico,0,no_fuma,<15,deportiva,12.3,72.9,79.9,1263.0
525,20,primaria,universidad,publico,1,no_fuma,<10,cultural,3.0,50.0,82.0,1300.0
526,21,universidad,bachillerato,privado,0,no_fuma,<10,cultural,5.5,68.0,81.8,1300.0
527,17,secundaria,secundaria,publico,0,fumador_constante,<10,cultural,6.5,66.2,63.6,1256.0
528,21,posgrado,universidad,privado,1,no_fuma,<5,deportiva,8.8,80.3,67.9,1300.0
529,21,secundaria,posgrado,privado,1,fuma_poco,<5,deportiva,14.7,66.9,78.9,1238.0
530,18,primaria,universidad,privado,0,no_fuma,15+,deportiva,19.2,72.8,62.8,1300.0
531,18,universidad,sin_estudios,publico,1,no_fuma,<10,cultural,11.5,90.4,85.5,1300.0
532,18,bachillerato,bachillerato,publico,0,no_fuma,<10,deportiva,12.2,84.9,85.8,1300.0
533,21,bachillerato,primaria,privado,1,no_fuma,<5,cultural,13.4,84.0,80.9,1300.0
534,19,bachillerato,secundaria,publico,0,no_fuma,<5,deportiva,6.8,70.0,67.9,1165.0
535,21,universidad,primaria,privado,0,no_fuma,<15,social,2.7,80.4,90.4,1259.0
536,19,secundaria,bachillerato,publico,0,no_fuma,<10,social,0.0,72.7,96.3,1300.0
537,19,posgrado,universidad,publico,0,no_fuma,<10,cultural,5.0,73.0,79.3,1300.0
538,18,posgrado,primaria,privado,0,fumador_constante,<5,deportiva,16.7,79.1,82.6,1300.0
539,20,bachillerato,secundaria,privado,0,fumador_constante,<15,deportiva,5.0,69.0,79.8,1299.0
540,17,primaria,bachillerato,privado,0,no_fuma,<5,deportiva,9.6,89.9,82.8,1300.0
541,18,bachillerato,secundaria,privado,1,fuma_poco,<5,deportiva,16.7,73.4,76.9,1283.0
542,18,primaria,primaria,publico,0,fumador_constante,<10,cultural,17.2,81.2,77.7,1276.0
543,20,sin_estudios,bachillerato,privado,0,no_fuma,<10,cultural,1.2,89.6,86.2,1300.0
544,17,secundaria,universidad,privado,0,fumador_ocasional,<5,social,22.0,85.3,99.1,1300.0
545,21,bachillerato,primaria,publico,0,fumador_constante,<15,deportiva,23.3,60.9,65.4,1258.0
546,21,universidad,primaria,publico,1,no_fuma,<15,cultural,0.7,79.4,77.1,1300.0
547,18,universidad,secundaria,publico,1,no_fuma,15+,cultural,3.8,83.5,67.4,1265.0
548,17,universidad,posgrado,publico,0,fumador_constante,<10,cultural,23.9,83.9,92.3,1300.0
549,18,secundaria,bachillerato,privado,0,no_fuma,<5,deportiva,10.5,63.9,72.7,1273.0
550,19,secundaria,universidad,publico,1,no_fuma,<10,cultural,0.0,68.4,65.0,1300.0
551,18,secundaria,secundaria,publico,0,no_fuma,15+,cultural,0.0,84.9,83.7,1300.0
552,18,posgrado,bachillerato,publico,1,no_fuma,<15,cultural,9.5,67.4,93.7,1300.0
553,21,sin_estudios,sin_estudios,publico,0,fuma_poco,<15,social,0.4,72.0,84.0,1227.0
554,21,universidad,bachillerato,publico,1,fuma_poco,<5,deportiva,7.9,90.8,79.8,1300.0
555,21,bachillerato,posgrado,publico,0,fumador_constante,<10,deportiva,12.3,74.5,81.7,1300.0
556,19,secundaria,bachillerato,privado,0,no_fuma,<5,cultural,26.6,67.7,90.7,1202.0
557,21,universidad,universidad,publico,1,no_fuma,<15,cultural,9.1,66.2,70.1,1250.0
558,17,bachillerato,universidad,publico,0,no_fuma,15+,deportiva,22.7,78.3,77.0,1262.0
559,20,universidad,primaria,publico,0,no_fuma,15+,social,26.3,61.7,73.9,1263.0
